NOM_AGENCE;NUM_AGENCE;NOM_DOSSIER;DAT_RECEPT;NUM_AGREMENT;LOT_NUM_REF;LOT_ADR_1;LOT_ADR_2;LOT_CP;LOT_VILLE;MNT_LOYER;LOT_TYP;LOT_MEUBLE;LOT_SUPERFICIE;PRES_DOS_FIC;NOM_REFERENT;DAT_DEB_TRAIT;DAT_COMPLET;DAT_INFO_AGENCE;FLG_COMPLET;JUST_MANQ;DAT_JUST_MANQ;RESULT_EFF;DOSS_PHASE;DOSS_STATUT;FLG_GARANTI;NUM_CONTRAT;CAUSE_REFUS;DOSS_COMMENT;DAT_SIGN_BAIL;DAT_EFF_BAIL;NB_LOC
Lucas SAS;0371050297;Marchal;26/08/2019 17:25:36;AGR_201908261CEO;100042R_7a41dcb0-1086-42ca-858b-94c9c599fde1;92654 Jeanne Delesseux;;78649;West Louisbury;808.21;t1;ABS;47504;OUI;Roussel;27/08/2019 16:06:07;28/08/2019 11:39:45;28/08/2019 18:01:42;OUI;;27/08/2019 17:57:45;;Terminé;ACCEPTE;OUI;0221884826;;Similique ipsam qui inventore id. Id illum odit aut eligendi. Delectus reiciendis omnis ducimus. Occaecati consequatur eaque debitis a qui eaque ipsa nemo est. Molestiae possimus voluptas et amet sit voluptate animi delectus.;;01/09/2019;2
Da silva - Blanchard;0156013519;Lucas;02/09/2019 17:38:39;AGR_201909021D0F;undefined_a6da5820-2a80-4c78-96e8-3152df0794fd;8606 Martin Saint-Bernard;;67743;Benjaminborough;15.58;t3;ABS;34626;OUI;Martinez;03/09/2019 17:34:55;;;NON;;04/09/2019 13:58:38;;Réception;EN COURS;;0114236787;;Unde recusandae quaerat voluptas sint. Cumque quis reiciendis rerum est. Ut est ut enim nostrum dolore ipsam. Maiores qui labore libero rerum molestias vel ducimus magnam molestias.;;03/09/2019;3
Chevalier - Moreau;0402141598;Rey;01/08/2019 14:24:59;AGR_20190801141N;undefined_6ac5d081-c652-4d66-99f1-7f6b937fb139;26626 Noah de la Harpe;;85860;East Ambreshire;746.69;f1;ABS;39485;NON;Faure;06/09/2019 04:58:58;;;NON;;28/08/2019 15:04:08;;Réception;EN COURS;;+33 785063940;;Non enim quia. Culpa non doloribus sit quidem architecto nihil possimus quo. Voluptates ut iusto. Et aut corrupti sequi. Laboriosam aperiam enim occaecati temporibus voluptas est.;;01/09/2019;1
Dupont EURL;0516569895;Roche;06/09/2019 10:38:19;AGR_201909060TJV;023958R_52f13017-a4e4-4c13-a2d9-51498024412b;25243 Thomas de Rivoli;;78330;Lake Mattéo;538.59;t1;ABS;29548;OUI;Roche;06/09/2019 13:36:01;06/09/2019 13:40:43;06/09/2019 16:44:19;OUI;;;;Terminé;REFUSE;NON;0700342675;TAUX EFF;Ex voluptate esse fugiat similique architecto et rerum. A nihil eum rerum distinctio sit maiores odit tenetur eligendi. Placeat eveniet quis a placeat. Non totam voluptas porro ut nulla rerum natus eos. Voluptatem corrupti omnis. Voluptas ducimus esse quis.;;01/10/2019;1
Schneider - Leclerc;+33 424358137;Morel;06/09/2019 10:43:52;AGR_201909060TT4;017001 E_de44e4b1-b88f-4c76-951b-403737a0e44f;10880 Mathilde Saint-Séverin;;81947;Port Ambrefurt;370.41;t2;ABS;10528;OUI;Nguyen;06/09/2019 13:02:49;06/09/2019 13:03:30;06/09/2019 16:52:26;OUI;;;;Terminé;REFUSE;NON;0441410046;TAUX EFF;Et aliquam nemo facere consequatur voluptas qui facere. Consequatur tenetur non. Ad voluptas pariatur. Id laudantium perspiciatis.;;01/10/2019;2
Clement SEM;+33 650187702;Marie;06/09/2019 10:47:28;AGR_201909060TZ4;009986E_7d6d7d35-1236-4441-8220-1531016ea65d;4495 Aubry de Solférino;;68582;Jadehaven;225.57;f2;ABS;62317;OUI;Berger;06/09/2019 13:50:44;06/09/2019 13:58:50;06/09/2019 16:58:07;OUI;;;;Terminé;REFUSE;NON;+33 778240857;TAUX EFF;Aut incidunt voluptatem laboriosam sit possimus et et. Amet placeat quasi dolorem nobis dolor consectetur illum doloribus et. Aliquid laudantium suscipit deserunt et.;;15/09/2019;1
Roussel SA;+33 609866925;Joly;06/09/2019 10:53:06;AGR_201909060RGI;29212_c83f3d52-5c38-4775-9dcb-44a4fa38602f;8630 Vidal du Havre;;87253;East Evaville;758.47;f1;ABS;38871;OUI;Durand;06/09/2019 13:35:57;06/09/2019 13:42:58;06/09/2019 17:02:07;OUI;;;;Terminé;REFUSE;NON;0613869841;TAUX EFF;Beatae esse et qui eligendi numquam et sequi. Labore quos aperiam deserunt fuga quasi iure voluptas perferendis aut. Aut quo est voluptates aut.;;15/09/2019;1
Lemoine SARL;+33 301856890;Duval;29/08/2019 18:05:20;AGR_201908291E8W;110066_f16ef0c0-cc55-415b-96b3-a17f5c340792;893 Blanc Saint-Denis;;13886;Camilleshire;530.22;t1;ABS;68088;OUI;Aubry;30/08/2019 17:10:04;30/08/2019 17:34:54;06/09/2019 17:05:41;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 547751888;;Illo rem quidem optio qui et soluta accusantium. Iure cupiditate soluta. Ut ab quis dolor dolor officiis. Voluptas qui consequatur eum eos vel eos qui autem.;;15/09/2019;2
Lopez, Leroy and David;+33 435405574;Perez;30/08/2019 15:07:04;AGR_20190830137S;022160M_3acd102a-ba53-4fdd-9e0b-13393789e1af;85679 Roger Du Sommerard;;31019;Renaudfurt;240.89;t2;ABS;74231;OUI;Perrin;31/08/2019 16:23:23;05/09/2019 17:23:46;06/09/2019 17:17:04;OUI;;02/09/2019 12:55:55;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0383300868;;Magnam tempora magnam illum autem non et nihil asperiores id. Iste ipsum quidem. Et similique voluptate dolores temporibus qui. Enim omnis magnam rerum. Eveniet ea et.;;21/10/2019;1
Adam - Dufour;+33 510635980;Deschamps;30/08/2019 15:10:26;AGR_20190830165E;undefined_322a75d9-3107-469f-b83d-19f5671e0f05;5236 Benoit de la Pompe;;01699;East Charlotte;973.49;f2;ABS;54212;NON;Robert;06/09/2019 11:04:03;06/09/2019 11:48:23;06/09/2019 17:19:36;OUI;;04/09/2019 11:35:21;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0655710792;;Et molestiae in nesciunt explicabo. Et maxime labore eos et necessitatibus quia repellendus. Qui quibusdam eum eum voluptas. Quod nulla veritatis. Quas qui dignissimos perferendis in qui omnis voluptate.;;01/10/2019;2
Denis, Brunet and Lacroix;+33 748466959;Laine;30/08/2019 15:35:59;AGR_2019083017BZ;020816B_b127f922-07f6-4f86-8925-1258c80a2c41;218 Clara du Chat-qui-Pêche;;57599;South Linaville;776.98;f2;ABS;31856;NON;Olivier;02/09/2019 13:33:36;02/09/2019 14:04:44;06/09/2019 17:24:07;OUI;;02/09/2019 13:11:42;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 723613847;;Ut sapiente non vero voluptate quam dolores id. Accusantium possimus qui. Est sed sed quia tempore quo vel dolorem.;;10/09/2019;2
Picard EURL;0779293358;Durand;30/08/2019 15:57:26;AGR_2019083018BQ;undefined_bac25bdb-242f-425d-8426-257ef38e703f;5491 Marie de l'Abbaye;;06954;Zoeville;949.02;f1;ABS;74100;OUI;Paris;02/09/2019 00:19:55;02/09/2019 16:09:01;06/09/2019 17:29:04;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 779356326;;Ullam dolorum nobis. Et animi inventore aut voluptatibus et deserunt quidem. Recusandae officia voluptas asperiores. Ad ut nesciunt aut aperiam quam.;;20/09/2019;1
Masson SAS;+33 796613172;Dumas;02/09/2019 10:25:56;AGR_201909020SZ8;026811S_39eb040b-acfb-418a-a937-fccc0bbad41e;907 Axel de Richelieu;;58617;North Noah;804.00;f2;ABS;44112;OUI;Chevalier;02/09/2019 16:29:45;02/09/2019 17:07:00;06/09/2019 17:30:39;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 387236349;;Corrupti quisquam cupiditate non accusantium. Illo suscipit voluptates. Tempora molestiae incidunt reprehenderit minima et eveniet.;;05/09/2019;2
Blanchard EURL;+33 312377796;Menard;27/08/2019 16:50:55;AGR_20190827180V;017579S_8c16543d-8b25-4e6f-be0b-a8e43da267ae;63018 Le gall Marcadet;;84763;Brunetside;417.79;t2;ABS;13307;OUI;Meyer;28/08/2019 14:40:39;28/08/2019 16:38:19;29/08/2019 10:59:17;OUI;;;;Terminé;ACCEPTE;OUI;+33 507428556;;Ut est dolore earum rem alias occaecati. Officiis voluptates ut quidem facilis aut dolorem. Culpa velit autem excepturi cumque itaque tenetur. Neque officiis non ut quo a eum et. Minima perferendis ut beatae est.;;02/09/2019;2
Brunet, Roy and Bonnet;+33 478063763;Brunet;02/09/2019 15:19:59;AGR_2019090216LB;026130C_cedbf0d5-dde6-4e77-ad98-12f03eff0723;465 Marie Saint-Jacques;;65105;Maevaburgh;833.16;f1;ABS;71139;OUI;Dumas;03/09/2019 09:04:07;03/09/2019 09:31:15;06/09/2019 17:32:05;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0496854092;;Praesentium aperiam tenetur dolores. Velit adipisci atque quam necessitatibus. Similique dolorum aut suscipit illum repellat. Consequatur omnis quo voluptatum voluptatibus eum deleniti non neque architecto.;;03/09/2019;2
Roger - Jean;+33 686294377;Le gall;03/09/2019 13:54:58;AGR_201909030ZVM;1650_01a524f0-238e-4fcb-b643-29fea5dddf36;0724 Alicia de Paris;;20016;Port Thomas;420.02;t2;ABS;65717;OUI;Henry;04/09/2019 10:58:04;05/09/2019 16:57:41;06/09/2019 17:37:52;OUI;;05/09/2019 14:51:13;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 540227063;;Est inventore ea amet et voluptates eligendi similique. Cum quod amet. Optio repellat pariatur qui at. Vitae fuga non quae nisi non provident. Aliquid tempore in. Ut itaque autem rem doloremque rerum quam.;;27/09/2019;2
Picard SEM;+33 208086980;Morin;03/09/2019 14:07:45;AGR_20190903138X;27204_3feaeade-e9b1-4f5f-b630-f4b77aec01e8;98757 Zoe d'Assas;;57292;Simonchester;769.28;f2;ABS;27194;OUI;Morin;04/09/2019 15:12:57;04/09/2019 15:28:19;06/09/2019 17:43:35;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 352512154;;Hic blanditiis quaerat sint omnis assumenda tempore aut iusto delectus. Est sed aperiam omnis sit consequuntur modi aut adipisci. Officiis et quo asperiores sit sequi.;;01/10/2019;2
Roy, Lefevre and Moulin;0395611371;Bertrand;05/09/2019 12:45:58;AGR_201909050ZGM;21401_adf69c9a-707d-4de3-94b6-a4334b74424b;03571 Ines de la Bûcherie;;49935;East Lauraland;15.73;t3;ABS;97636;OUI;Baron;05/09/2019 17:46:45;05/09/2019 17:53:41;06/09/2019 17:45:11;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0573577702;;Sit cumque tenetur suscipit odit optio odit. Quae debitis et eaque. Minima autem odio dignissimos dolor dolor autem eos iusto. Iure et ut amet dolore aut facilis voluptates. Eum quia quis voluptas exercitationem aliquid error consequatur quo. Ut et impedit dolorem explicabo sed nihil qui vero consequatur.;;11/09/2019;1
Garcia, Perrot and Gaillard;+33 124614016;Guerin;03/09/2019 13:50:15;AGR_2019090312FR;028043G_8b6b47c0-4fdd-4175-9289-1f2732615397;90507 Le roux d'Argenteuil;;18516;East Noaville;556.70;t3;ABS;70010;OUI;Paris;04/09/2019 13:11:54;04/09/2019 13:27:03;06/09/2019 17:36:22;OUI;;;;Terminé;ACCEPTE;OUI;+33 682679149;;Omnis facere quos. Eligendi veniam et eaque. Fuga voluptate qui voluptatem fugiat impedit. Cupiditate culpa commodi saepe eum aliquam. Rem sit et modi nisi. Deleniti id voluptatem quae suscipit rerum ea.;;14/09/2019;2
Gerard - Robert;0182569593;Meunier;28/08/2019 11:33:33;AGR_201908280W3X;022160M_937542f7-966d-4daa-8826-7bd39a58521c;67858 Sarah des Grands Augustins;;03496;Picardland;970.33;t1;ABS;45436;OUI;Gauthier;28/08/2019 18:55:07;29/08/2019 11:19:42;29/08/2019 12:04:01;OUI;;;;Terminé;ACCEPTE;OUI;0245697686;;Beatae fugiat voluptas omnis corporis delectus. Voluptatem alias modi. Sapiente occaecati voluptatem. Dolores dolores blanditiis. Id nihil et vel ullam modi.;;01/09/2019;2
Gerard - Charles;+33 593345238;Arnaud;03/09/2019 14:05:26;AGR_201909031352;151686B_667dedf6-f22d-4338-8fb2-5747b599c451;2520 Dumas Saint-Bernard;;07190;Lecomteburgh;629.31;f1;ABS;32919;OUI;Hubert;04/09/2019 17:39:23;04/09/2019 17:48:33;06/09/2019 12:21:12;OUI;;;;Terminé;ACCEPTE;OUI;+33 768050066;;Officia ducimus aperiam delectus ea ut. Perferendis distinctio sint excepturi dolorum ab rerum qui et odit. Qui officiis voluptatem voluptate sint quis illum. Explicabo necessitatibus excepturi et atque. Aut fugiat quia similique cum unde impedit quia.;;04/09/2019;2
Charles, Menard and Roux;+33 182503246;Renard;02/09/2019 15:15:37;AGR_2019090216E1;007884U_a5c6c7af-2804-408f-8fce-1985f23a870e;10196 Justine Joubert;;96590;South Alicia;417.03;t3;ABS;79701;OUI;Rolland;03/09/2019 14:08:47;03/09/2019 15:36:24;05/09/2019 15:38:49;OUI;;;;Terminé;ACCEPTE;OUI;+33 764495395;;Magni repudiandae sed occaecati consequatur perspiciatis quis accusantium. Eaque doloribus atque et inventore rerum ratione quis. Voluptatibus et est placeat error fugiat voluptatem non enim similique. In similique at ipsa nostrum.;;15/09/2019;2
Bertrand, David and Fleury;+33 476946788;Pons;04/09/2019 08:04:54;AGR_201909040MG6;016614J_3420146d-c1d9-4b0d-984c-0808fc182468;30543 Adrien Vaneau;;96036;South Ambre;317.22;t2;ABS;26926;OUI;Robert;04/09/2019 15:33:36;06/09/2019 10:24:16;09/09/2019 11:09:19;OUI;;05/09/2019 12:11:12;;Terminé;REFUSE;NON;0105924188;TAUX EFF;Dolorem et rerum. Quia itaque quo nam itaque esse et qui blanditiis. Neque aperiam dignissimos eligendi dolor cupiditate in laudantium saepe consequuntur.;;23/09/2019;1
Lefevre - Blanc;0426412624;Aubert;30/08/2019 15:03:00;AGR_201908301310;025119D_e293cfb7-a929-4ff4-9a82-8121b9cf39cd;6059 Adrien de la Chaussée-d'Antin;;14570;Lerouxfort;217.27;f1;ABS;72939;OUI;Martinez;02/09/2019 11:57:06;02/09/2019 13:25:33;03/09/2019 17:33:05;OUI;;02/09/2019 12:54:50;;Terminé;ACCEPTE;OUI;+33 611984339;;Tempore qui et. Numquam dolore commodi ea deleniti modi culpa omnis. Exercitationem quas et delectus omnis. Quos quo quasi nulla doloribus laboriosam culpa.;;02/09/2019;2
Brun - Brun;0203498551;Andre;02/09/2019 15:42:59;AGR_2019090217NN;025119D_8686dbe9-4e02-43e6-97ba-dbe2261749d8;86755 Mélissa Marcadet;;29452;West Chloé;500.72;f2;ABS;57423;OUI;Lecomte;03/09/2019 11:15:24;03/09/2019 11:22:34;03/09/2019 18:11:18;OUI;;;;Terminé;ACCEPTE;OUI;+33 407091465;;Sequi rerum sunt laboriosam non est enim voluptate. Et quis et error aliquam. Iusto voluptatum accusantium suscipit. Nemo sequi quo quia sequi natus non omnis quod maxime. Consequatur at nam et. Vero at in quas.;;01/11/2019;1
Morin - Guyot;+33 324067033;Sanchez;27/08/2019 16:56:29;AGR_2019082718A5;undefined_8a568eae-71d8-455a-a6c7-802c04ad069b;59044 Sarah de Seine;;20699;Port Maeva;373.66;f1;ABS;76459;OUI;Laurent;28/08/2019 17:20:31;30/08/2019 15:59:48;30/08/2019 17:08:53;OUI;;29/08/2019 12:11:20;;Terminé;ACCEPTE;OUI;+33 502950526;;Molestiae consequatur aut laboriosam dolorem nihil. Corrupti debitis suscipit voluptas praesentium. Autem quo ea dolore aut nostrum repellat. Blanditiis quaerat porro quia sed earum magnam recusandae. Cupiditate magnam excepturi et dolor.;;28/08/2019;1
Renaud - David;0288637637;Garnier;14/08/2019 17:52:48;AGR_201908141DO0;undefined_a73353f1-f2aa-48e3-b44b-9f64257d5f33;567 Bourgeois de Presbourg;;31976;New Zoestad;124.80;t3;ABS;45821;OUI;Blanc;16/08/2019 12:14:19;16/08/2019 12:40:59;19/08/2019 15:45:17;OUI;;;;Terminé;ACCEPTE;OUI;0471821209;;Cumque molestiae rerum nulla sit nemo. Eveniet cumque enim fugit dolorem pariatur quo fugiat id voluptas. Nihil repellat magni ea et non.;;01/09/2019;2
Berger, Fournier and Marchal;+33 748487355;Jacquet;24/07/2019 19:08:39;AGR_201907241H6F;100841K_9b489f7f-7545-48be-9d79-7b3b15a5dd76;174 Nicolas de Rivoli;;53989;East Adrien;410.19;t2;ABS;88980;OUI;Giraud;25/07/2019 09:24:02;29/07/2019 16:00:50;29/07/2019 16:08:46;OUI;;27/07/2019 02:28:11;;Terminé;ACCEPTE;OUI;+33 614509725;;Voluptas ex rerum eius sint dolores. Alias quaerat dolor totam qui. Et iure rerum et aperiam odio quos.;;15/09/2019;1
Rey - Lemaire;0763677619;Menard;28/08/2019 17:18:00;AGR_201908281C20;undefined_1c3e22dc-f154-4529-bc8e-4e0890e59cd0;3515 Lecomte Pierre Charron;;52518;West Louiseport;243.84;t2;ABS;3793;OUI;Lacroix;28/08/2019 18:06:58;30/08/2019 10:43:23;30/08/2019 14:08:27;OUI;;29/08/2019 16:19:04;;Terminé;ACCEPTE;OUI;+33 795596953;;Dolorem soluta libero est accusantium autem excepturi culpa quis quia. Quasi dolorem temporibus eligendi. Temporibus provident reiciendis eos. Ut enim facilis ut et illum. Ut vel est veniam voluptates. Hic aut in quis incidunt corporis quas nihil optio quis.;;28/08/2019;1
Olivier SEM;0352869493;Gauthier;02/09/2019 17:33:00;AGR_201909021CR0;undefined_4b7f584d-ea90-418e-8fa5-0a854535346a;78227 Léa du Faubourg-Saint-Denis;;78389;New Carlaburgh;439.19;f1;ABS;91811;OUI;Hubert;03/09/2019 10:24:13;03/09/2019 10:31:56;03/09/2019 18:09:35;OUI;;;;Terminé;ACCEPTE;OUI;0489664687;;Esse beatae hic modi expedita facere. Ea commodi suscipit qui sit. Id quod molestiae similique id animi velit aut quibusdam. Minima aut accusantium et libero nam inventore. Perferendis dolores corrupti voluptatem exercitationem consectetur.;;03/09/2019;1
Gauthier SAS;0470852182;Berger;23/08/2019 15:50:46;AGR_20190823158M;2661_d821e9de-116f-4030-a42b-77df11c010f3;85821 Elisa de Nesle;;51648;Port Océane;914.78;t3;ABS;39992;OUI;Lecomte;24/08/2019 16:49:04;24/08/2019 16:54:32;28/08/2019 12:23:49;OUI;;;;Terminé;ACCEPTE;OUI;+33 454407827;;Ipsa et repellat minima. Veritatis vel iure ea. Autem ut ad nulla odio qui rerum ullam libero. Dolores sit ipsum dolor ab rerum quod qui earum et.;;16/09/2019;2
Olivier - Carre;0349414618;Dupont;23/08/2019 15:52:48;AGR_2019082315C0;40364_01ed2f77-a251-485d-8393-b17f7ae73982;0651 Dubois du Chat-qui-Pêche;;80871;Mathéoport;971.05;t3;ABS;61829;OUI;Roger;26/08/2019 10:22:59;03/09/2019 14:02:08;09/09/2019 12:08:18;OUI;;28/08/2019 10:55:25;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0447460272;;Excepturi nisi ut. Est cum quo et eaque. Ut pariatur placeat quia amet dolorem necessitatibus. Doloribus corrupti quidem quos rerum perferendis harum id rerum. Aperiam est quia enim harum harum laborum voluptas. Repellendus deserunt odio totam deserunt iure sunt repellat.;;01/10/2019;2
Picard SEM;+33 686175553;Dumas;27/08/2019 16:47:10;AGR_201908271AMM;902117M_1a237c71-3877-49b7-b120-1a507198218c;246 Baron Zadkine;;39538;New Raphaëlborough;725.08;t1;ABS;44133;OUI;Aubry;28/08/2019 13:12:23;28/08/2019 13:31:17;09/09/2019 12:11:10;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0247541056;;Quis laudantium dolor saepe tempora exercitationem hic ea nisi. Voluptatum unde id provident autem in veniam voluptate nostrum. Sed quasi quas quam sunt molestias. Repellendus id repudiandae dolorem officiis et culpa.;;28/08/2019;2
Berger - Denis;+33 590616635;Marty;29/08/2019 18:16:51;AGR_201908291ES3;110066_f9e51906-4eee-4946-8868-3532237a548b;131 Jacquet des Grands Augustins;;32873;Martinezview;456.74;t3;ABS;39189;OUI;Sanchez;30/08/2019 16:33:17;30/08/2019 16:57:22;09/09/2019 12:16:04;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0399506553;;Pariatur praesentium nesciunt voluptatem ex quo dolor quam dolor alias. Consectetur praesentium praesentium iure neque culpa ipsam dolores rerum. Aperiam et in similique et voluptate harum totam. Deleniti vel hic et quos qui aliquam aliquam provident animi. Ea laborum sunt recusandae eius.;;01/11/2019;2
Olivier EI;0322826437;Gauthier;03/09/2019 10:34:27;AGR_201909030TDF;620_e1aaca67-be47-45b0-a330-5970b1ea1c91;617 Elisa d'Alésia;;56134;Carlaburgh;849.55;t3;ABS;22962;OUI;Duval;03/09/2019 17:18:46;03/09/2019 18:09:35;04/09/2019 10:50:09;OUI;;;;Terminé;ACCEPTE;OUI;+33 722130812;;Assumenda dignissimos sunt autem reprehenderit inventore totam voluptatem laborum. Veritatis dolorem sed dolor aspernatur odit in voluptates. Asperiores id facilis nam vel non ratione.;;04/09/2019;2
Martinez, Royer and Gauthier;0148334660;Huet;30/08/2019 15:04:27;AGR_20190830133F;902117M_88ec67e9-66ee-4c35-b19e-0e08cb98e4c0;2641 Paris de Nesle;;59828;East Noa;260.42;f1;ABS;24102;OUI;Boyer;02/09/2019 12:23:55;02/09/2019 12:57:38;09/09/2019 12:19:17;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0525983340;;Explicabo facere amet nam. Est ipsum omnis. Voluptas molestiae rerum dolor recusandae fuga esse reprehenderit sit. Consequatur illum labore. Reprehenderit autem quae libero vel veritatis quis voluptas. Dolores nobis recusandae natus voluptas est voluptatum provident aut quibusdam.;;10/09/2019;2
Dupuy - Dumas;0148153689;Rousseau;23/08/2019 11:11:32;AGR_201908230V38;6593_8d8d9900-1e45-4a5b-b220-0ab263e546f5;36540 Evan de l'Odéon;;26788;Fournierbury;286.83;f2;ABS;77209;OUI;Dumas;23/08/2019 11:26:01;23/08/2019 11:59:06;27/08/2019 13:51:47;OUI;;;;Terminé;ACCEPTE;OUI;0705468222;;Incidunt sequi placeat quam. Omnis ab nam ut sit aliquam. Ea quidem magnam mollitia omnis exercitationem aliquid. Et ducimus itaque laborum exercitationem ipsa ipsam mollitia reiciendis.;;01/09/2019;2
Fournier - Durand;0221375421;Michel;03/09/2019 17:50:28;AGR_201909031DK4;27204_3d07b02d-e256-452e-9297-2fd3fc10c6ff;8127 Baron d'Alésia;;44089;West Manonville;544.92;f1;ABS;87806;OUI;Marie;04/09/2019 15:45:16;04/09/2019 16:05:00;09/09/2019 12:21:37;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0634002866;;Maxime rerum et odio blanditiis autem. Porro corporis reiciendis optio consequatur perspiciatis voluptas ea. Deserunt voluptatum quasi et eum ab voluptatibus molestias perferendis placeat. Magni sint autem eum dolores est aut.;;01/10/2019;2
Aubry SA;+33 364717535;Gauthier;03/09/2019 17:55:48;AGR_201909031DT0;023356M_4f81b32b-a460-45fa-bd18-e4509e2519ff;20003 Poirier de la Bûcherie;;19113;Camilleland;571.63;f1;ABS;65367;OUI;Caron;04/09/2019 13:14:28;04/09/2019 13:21:07;09/09/2019 12:23:33;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0676670467;;Id nihil vel aliquam. Aperiam deserunt libero repellat aperiam accusantium nobis tempora corporis distinctio. Qui similique reprehenderit non. Quis sunt dolore eveniet voluptatem repudiandae ipsam deserunt laboriosam corrupti.;;20/09/2019;1
Brun, Dufour and Louis;0493362152;Rodriguez;06/09/2019 11:03:49;AGR_201909060UQD;42827_481dc15e-eca9-4581-aa8d-9cd3a9290dac;391 Pons de Paris;;41822;West Laurahaven;370.31;t2;ABS;46546;OUI;Paris;07/09/2019 11:30:43;;;NON;;;;Réception;EN COURS;;+33 193658895;;Provident et dolores aspernatur et velit. Doloremque mollitia in tenetur assumenda. Minus harum natus illo nulla unde debitis in. Non quis quidem ducimus eaque porro eum sunt facilis.;;23/09/2019;1
Carre, Muller and Lucas;+33 588410135;Muller;03/09/2019 17:58:04;AGR_201909031DWS;2098F_b6758021-2991-432d-8c80-d55ab108852c;5193 Mathis La Boétie;;76207;Elisaport;10.16;t3;ABS;11150;OUI;Collet;04/09/2019 13:31:53;04/09/2019 13:39:09;09/09/2019 12:25:00;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 271896533;;Qui aliquid ad praesentium minima qui nisi. Qui saepe et sint dolore doloribus perspiciatis qui quae laboriosam. Ut et est.;;09/09/2019;2
Nguyen - Rodriguez;+33 106738461;Durand;03/09/2019 18:02:43;AGR_201909031BCJ;04_85b3eb44-987e-4286-8670-9a337af3f82f;38573 Paul d'Orsel;;30273;East Louiseport;826.99;t3;ABS;79869;NON;Francois;04/09/2019 16:22:27;04/09/2019 16:33:24;09/09/2019 12:26:18;OUI;;04/09/2019 11:23:15;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;+33 271272365;;Voluptatem est enim incidunt voluptatem itaque. Sequi et esse rerum. Dignissimos voluptatem blanditiis sit iusto consequatur consequuntur nesciunt.;;04/09/2019;1
Roux, Leroux and Joly;0526671398;Leroux;03/09/2019 18:05:30;AGR_201909031E96;2661_d9fbe86b-e046-48c9-9ae3-60347f6c52fb;344 Antoine de Caumartin;;55653;New Océane;795.21;f1;ABS;61473;OUI;Garcia;04/09/2019 16:13:53;04/09/2019 16:33:37;09/09/2019 12:28:17;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0200300822;;Laboriosam harum dolor ullam quidem voluptatum. Ut omnis reiciendis quod eum fuga aut ullam. Dolore impedit iure eius praesentium commodi.;;20/09/2019;1
Lefevre SEM;+33 105682221;Louis;05/09/2019 12:33:33;AGR_201909050YVX;1660_388e1750-eb08-4120-87c2-ff056e69980b;8236 Prevost Saint-Séverin;;49167;Port Quentin;639.80;t1;ABS;33664;OUI;Philippe;06/09/2019 10:10:57;06/09/2019 10:23:38;09/09/2019 12:31:54;OUI;;;;Réponse Agence;ACCEPTE;ATTENTE RETOUR AGENCE;0385333548;;Voluptatem adipisci consequatur minus et numquam nostrum et exercitationem laboriosam. Odio quia est a voluptatibus rerum laborum enim occaecati. Vitae magnam molestiae delectus pariatur. Voluptatum impedit labore minus consequatur. Eum fugiat reiciendis tempore numquam voluptatum rerum vero sunt dolorem. Rerum architecto tempore sint necessitatibus corporis.;;10/09/2019;1
Barre, Masson and Blanchard;+33 329261632;Morin;06/09/2019 11:42:19;AGR_201909060WIJ;042827B_6efb34ff-fb1b-474f-b3b5-1198beac3cdf;12409 Ambre Molière;;42062;Pierreport;18.44;t2;ABS;77970;OUI;Menard;07/09/2019 10:43:09;;;NON;;;;Réception;EN COURS;;0446168952;;Aliquid maxime et alias maiores non. Facilis quo id ut nemo voluptatum vel saepe vitae laboriosam. Optio iure eos voluptate velit illo cumque.;;09/09/2019;1
